major_name,Avg_Log_Annual_Earnings
Engineering,10.866866535684887
Computer and Information Sciences,10.797985563936527
Architecture,10.76629721374307
Engineering Technologies,10.720531068877888
Mathematics and Statistics,10.647685071015376
Business,10.621124520991081
Medical and Health Sciences and Services,10.538029456979274
Social Sciences,10.523849159177322
Agriculture,10.466060937936371
Communications,10.44968777592783
Physical Sciences,10.445979299914878
Criminal Justice and Fire Protection,10.418342005866627
Philosophy and Religious Studies,10.344998213288472
History,10.336153512647357
Interdisciplinary and Multi-Disciplinary Studies (General),10.334825646084992
"Public Affairs, Policy, and Social Work",10.310347219009396
Environment and Natural Resources,10.30044838824244
Education Administration and Teaching,10.287077653212394
Liberal Arts and Humanities,10.27729429296989
Biology and Life Sciences,10.275959510356623
"English Language, Literature, and Composition",10.250345076490325
Linguistics and Foreign Languages,10.245011575147707
"Physical Fitness, Parks, Recreation, and Leisure",10.240848380394622
Psychology,10.223071226588452
Fine Arts,10.205334656307272
Family and Consumer Sciences,10.165573824685685
